family,n,seed,kind,poly,k,degree,op_norm,max_on_W,ratio,num_radius,mat_norm,dfn,method,extra
nilpotent_shift,2,8001,cb,rand_k8_deg3,8,3,8.359429143897378,7.77470775888166,1.0752081497015429,0.5000000000000003,1.0,1.4142135623730951,johnson,large_cb
nilpotent_shift,4,8002,cb,rand_k8_deg3,8,3,13.009796676258231,11.809064456374582,1.1016788607022538,0.8090169943749479,1.0,1.4142135623730951,johnson,large_cb
nilpotent_shift,6,8003,cb,rand_k8_deg4,8,4,14.712738313863444,13.65346511067415,1.0775827377594545,0.9009688679024196,1.0,1.4142135623730951,johnson,large_cb
perturbed_nilpotent,4,8004,cb,rand_k8_deg3,8,3,12.721564782037797,11.64478243893707,1.0924690820757845,0.8459482529249018,1.0605659672407746,1.4916130345006942,johnson,large_cb
perturbed_nilpotent,6,8005,cb,rand_k8_deg3,8,3,14.092477761736054,13.636575590687672,1.0334323062279445,0.9549080902150485,1.065826717256718,1.3844295373085393,johnson,large_cb
random_triangular,6,8006,cb,rand_k8_deg3,8,3,274.554290111514,405.4873727203498,0.6770970160416421,3.704535022051934,5.617976378573088,41.74133263309815,johnson,large_cb
random_triangular,8,8007,cb,rand_k8_deg3,8,3,737.0567104141808,766.3656609068516,0.9617559188938748,4.807706862247203,6.529070131507018,61.765718255013724,johnson,large_cb
mild_nonnormal,6,8008,cb,rand_k8_deg3,8,3,263.06220574157624,262.2520891944851,1.0030890756660107,3.292071359356874,3.5037785280847507,7.354079669909753,johnson,large_cb
nilpotent_shift,3,8009,cb,rand_k12_deg3,12,3,14.279298433390029,13.401870618272662,1.065470548112966,0.7071067811865479,1.0,1.4142135623730951,johnson,large_cb
grcar,6,8010,cb,rand_k8_deg3,8,3,150.68791958054027,146.75533326828196,1.0267968885673762,2.819821080842025,2.961128230070325,6.48074069840786,johnson,large_cb
nilpotent_shift,2,det,cb,z*I_8,8,1,1.0,0.5000000000000003,1.9999999999999987,0.5000000000000003,1.0,1.4142135623730951,johnson,large_cb_amplification
